industria_clean,sugerencia_top,score_top,cand_1,score_1,cand_2,score_2,cand_3,score_3,cand_4,score_4,cand_5,score_5
abogacia,,,Banca,46.15384615384615,Marketing y Publicidad,33.33333333333333,Servicios Públicos,30.769230769230774,Telecomunicaciones,30.769230769230774,Venta al por Mayor,30.769230769230774
acabados de productos textiles,,,Productos Farmacéuticos,49.056603773584904,Consultoría de Gestión,46.15384615384615,Banca de Inversión,41.666666666666664,Servicios y Tecnologías de la Información,39.436619718309856,Logística y Cadena de Suministro,38.70967741935484
accounting,,,Telecomunicaciones,42.857142857142854,Productos Farmacéuticos,36.36363636363637,Banca de Inversión,35.71428571428571,Consultoría de Gestión,31.25,Marketing y Publicidad,31.25
acero,,,Reaseguros,53.333333333333336,Seguros,50.0,Educación Superior,43.47826086956522,Petróleo y Gas,42.10526315789474,Banca,40.0
actividades de hospitales y clinicas con internacion,,,Hospitales y Atención Sanitaria,53.01204819277108,Logística y Cadena de Suministro,50.0,Servicios y Tecnologías de la Información,45.16129032258065,Servicios Profesionales,40.0,"Sanidad, Bienestar y Ejercicio",39.02439024390244
actividades relacionadas con la intermediacion de credito,,,Servicios y Tecnologías de la Información,46.93877551020408,"Sanidad, Bienestar y Ejercicio",39.08045977011494,Logística y Cadena de Suministro,38.20224719101124,Hospitales y Atención Sanitaria,34.09090909090909,Consultoría de Gestión,32.911392405063296
acuerdos de capital de riesgo y capital de inversion,,,Banca de Inversión,50.0,Logística y Cadena de Suministro,48.57142857142857,Hospitales y Atención Sanitaria,46.3768115942029,Servicios Profesionales,42.622950819672134,Servicios y Tecnologías de la Información,40.50632911392405
ad agencies & ad sales/service,,,Servicios Profesionales,44.0,Hospitales y Atención Sanitaria,41.37931034482759,Banca de Inversión,35.55555555555556,Educación Superior,35.55555555555556,Servicios Públicos,35.55555555555556
administracion,,,Telecomunicaciones,50.0,Venta Minorista,48.275862068965516,Logística y Cadena de Suministro,43.47826086956522,"Sanidad, Bienestar y Ejercicio",40.90909090909091,Consultoría de Gestión,38.888888888888886
administracion de justicia,,,Consultoría de Gestión,50.0,Venta Minorista,48.78048780487805,Logística y Cadena de Suministro,48.275862068965516,Telecomunicaciones,45.45454545454545,Servicios y Tecnologías de la Información,41.791044776119406
administracion de servicios publicos,,,Servicios Públicos,55.55555555555556,Servicios Profesionales,50.847457627118644,Servicios y Tecnologías de la Información,49.35064935064935,Productos Farmacéuticos,47.45762711864407,Logística y Cadena de Suministro,44.11764705882353
administracion gubernamental,,,Venta Minorista,51.16279069767442,"Sanidad, Bienestar y Ejercicio",41.37931034482759,Logística y Cadena de Suministro,40.0,Educación Superior,39.130434782608695,Telecomunicaciones,39.130434782608695
administracion publica,,,Marketing y Publicidad,50.0,Venta Minorista,43.24324324324324,"Sanidad, Bienestar y Ejercicio",42.30769230769231,Logística y Cadena de Suministro,40.74074074074074,Educación Superior,40.0
adminstracion publica,,,Marketing y Publicidad,51.16279069767442,"Sanidad, Bienestar y Ejercicio",43.13725490196079,Educación Superior,41.02564102564103,Productos Farmacéuticos,40.90909090909091,Dispositivos Médicos,39.02439024390244
aeronautica y aviacion,,,Logística y Cadena de Suministro,51.851851851851855,Telecomunicaciones,50.0,"Sanidad, Bienestar y Ejercicio",46.15384615384615,Marketing y Publicidad,45.45454545454545,Banca de Inversión,45.0
aerospace,,,Reaseguros,52.63157894736842,Seguros,50.0,Banca de Inversión,37.03703703703704,Telecomunicaciones,37.03703703703704,Envases y Embalajes,35.71428571428571
agencia consultora,,,Consultoría de Gestión,45.0,Hospitales y Atención Sanitaria,44.89795918367347,Telecomunicaciones,44.44444444444444,Venta al por Mayor,44.44444444444444,Productos Farmacéuticos,43.90243902439025
agencia de noticias,,,Logística y Cadena de Suministro,54.90196078431372,Banca de Inversión,54.054054054054056,Venta Minorista,47.05882352941177,Hospitales y Atención Sanitaria,44.0,Desarrollo de Software,43.90243902439025
agencia inmobiliaria,,,Hospitales y Atención Sanitaria,50.98039215686274,Marketing y Publicidad,42.857142857142854,Banca de Inversión,42.10526315789474,Logística y Cadena de Suministro,38.46153846153846,Educación Superior,36.8421052631579
agencias de cobros,,,Banca de Inversión,55.55555555555556,Servicios y Tecnologías de la Información,44.067796610169495,Logística y Cadena de Suministro,44.0,Reaseguros,42.857142857142854,Consultoría de Gestión,40.0
agencias de seguros y corretaje,,,Logística y Cadena de Suministro,53.96825396825397,Banca de Inversión,44.89795918367347,Reaseguros,43.90243902439025,Hospitales y Atención Sanitaria,41.935483870967744,Servicios y Tecnologías de la Información,41.666666666666664
agency brokerage othrinsurance,,,Hospitales y Atención Sanitaria,39.34426229508197,Logística y Cadena de Suministro,38.70967741935484,Banca de Inversión,37.5,Consultoría de Gestión,34.61538461538461,Marketing y Publicidad,34.61538461538461
agricola,,,Banca,46.15384615384615,Reaseguros,44.44444444444444,Seguros,40.0,Desarrollo de Software,33.33333333333333,Marketing y Publicidad,33.33333333333333
agricultura,,,Reaseguros,38.095238095238095,Banca,37.5,Marketing y Publicidad,36.36363636363637,Productos Farmacéuticos,35.294117647058826,Seguros,33.33333333333333
agricultura y alimentos,,,Logística y Cadena de Suministro,43.63636363636363,Petróleo y Gas,43.24324324324324,Envases y Embalajes,42.857142857142854,Venta Minorista,42.10526315789474,Consultoría de Gestión,40.0
agriculture,,,Reaseguros,38.095238095238095,Logística y Cadena de Suministro,37.2093023255814,Desarrollo de Software,36.36363636363637,Productos Farmacéuticos,35.294117647058826,Seguros,33.33333333333333
agroindustria,,,Reaseguros,43.47826086956522,Marketing y Publicidad,40.0,Seguros,40.0,Servicios Profesionales,38.888888888888886,Educación Superior,38.70967741935484
agroindustrial,,,Reaseguros,41.666666666666664,Marketing y Publicidad,38.888888888888886,Seguros,38.095238095238095,Servicios Profesionales,37.83783783783784,Educación Superior,37.5
agroindustrias,,,Servicios Profesionales,43.24324324324324,Reaseguros,41.666666666666664,Consultoría de Gestión,38.888888888888886,Marketing y Publicidad,38.888888888888886,Seguros,38.095238095238095
agronegocios produccion y comercializacion de productos agricolas,,,Servicios y Tecnologías de la Información,41.509433962264154,Logística y Cadena de Suministro,39.175257731958766,Productos Farmacéuticos,38.63636363636363,"Sanidad, Bienestar y Ejercicio",35.78947368421052,Servicios Profesionales,34.09090909090909
agronegocios y alimentos,,,Hospitales y Atención Sanitaria,43.63636363636363,Servicios y Tecnologías de la Información,43.07692307692308,Productos Farmacéuticos,42.5531914893617,Servicios Profesionales,42.5531914893617,Petróleo y Gas,42.10526315789474
agropecuaria,,,Reaseguros,36.36363636363637,Banca,35.294117647058826,Marketing y Publicidad,35.294117647058826,Servicios Profesionales,34.28571428571429,Banca de Inversión,33.33333333333333
aguas potables,,,Petróleo y Gas,42.857142857142854,Envases y Embalajes,42.42424242424242,Reaseguros,41.666666666666664,Seguros,38.095238095238095,Productos Farmacéuticos,37.83783783783784
aguascalientes aguascalientes aguascalientes,,,Telecomunicaciones,43.75,Logística y Cadena de Suministro,39.130434782608695,Banca de Inversión,37.5,Educación Superior,37.5,Envases y Embalajes,36.36363636363637
air transportation,,,Venta al por Mayor,44.44444444444444,Venta Minorista,42.42424242424242,Consultoría de Gestión,40.0,Educación Superior,38.888888888888886,Dispositivos Médicos,36.8421052631579
airlines/aviation,,,Servicios Profesionales,45.0,Servicios Públicos,40.0,Telecomunicaciones,40.0,"Sanidad, Bienestar y Ejercicio",38.297872340425535,Venta Minorista,37.5
alimentacion y bebida,,,Marketing y Publicidad,55.81395348837209,"Sanidad, Bienestar y Ejercicio",54.90196078431372,Telecomunicaciones,46.15384615384615,Hospitales y Atención Sanitaria,42.30769230769231,Logística y Cadena de Suministro,41.509433962264154
alimentacion y bebidas,,,Marketing y Publicidad,54.54545454545455,"Sanidad, Bienestar y Ejercicio",53.84615384615385,Telecomunicaciones,50.0,Envases y Embalajes,43.90243902439025,Hospitales y Atención Sanitaria,41.509433962264154
alimentos,,,Reaseguros,42.10526315789474,Seguros,37.5,Servicios Públicos,37.03703703703704,Telecomunicaciones,37.03703703703704,Venta al por Mayor,37.03703703703704
alimentos leche y calidad,,,"Sanidad, Bienestar y Ejercicio",47.27272727272727,Marketing y Publicidad,46.808510638297875,Servicios y Tecnologías de la Información,42.42424242424242,Logística y Cadena de Suministro,42.10526315789474,Envases y Embalajes,40.90909090909091
alimentos procesados,,,Productos Farmacéuticos,51.16279069767442,Servicios Públicos,47.36842105263158,Servicios Profesionales,41.86046511627907,Dispositivos Médicos,40.0,Venta Minorista,40.0
alimentos y bebidas,,,Marketing y Publicidad,48.78048780487805,Envases y Embalajes,47.36842105263158,"Sanidad, Bienestar y Ejercicio",44.89795918367347,Servicios Públicos,43.24324324324324,Venta Minorista,41.1764705882353
alimentos y bebidas panaderias y elaboracion de tortillas,,,Servicios y Tecnologías de la Información,45.833333333333336,Logística y Cadena de Suministro,43.67816091954023,"Sanidad, Bienestar y Ejercicio",42.35294117647059,Hospitales y Atención Sanitaria,39.53488372093023,Consultoría de Gestión,36.36363636363637
almacenamiento,,,Envases y Embalajes,42.42424242424242,Logística y Cadena de Suministro,39.130434782608695,Productos Farmacéuticos,37.83783783783784,Telecomunicaciones,37.5,Venta Minorista,34.48275862068965
alquiler de bienes inmuebles no residenciales,,,Servicios Profesionales,41.1764705882353,Consultoría de Gestión,38.80597014925373,Banca de Inversión,38.095238095238095,Marketing y Publicidad,35.82089552238806,Servicios y Tecnologías de la Información,34.883720930232556
alternative medicine,,,Consultoría de Gestión,42.857142857142854,Logística y Cadena de Suministro,42.30769230769231,Banca de Inversión,42.10526315789474,Telecomunicaciones,42.10526315789474,Servicios Profesionales,41.86046511627907
apparel & fashion,,,Banca de Inversión,34.28571428571429,Telecomunicaciones,34.28571428571429,Venta al por Mayor,34.28571428571429,Envases y Embalajes,33.33333333333333,Desarrollo de Software,30.769230769230774
apparel fabric notions whsl,,,Productos Farmacéuticos,40.0,Servicios Profesionales,40.0,Marketing y Publicidad,36.734693877551024,Servicios Públicos,35.55555555555556,Telecomunicaciones,35.55555555555556
apparel manufacture,,,Desarrollo de Software,39.02439024390244,Telecomunicaciones,37.83783783783784,Envases y Embalajes,36.8421052631579,Productos Farmacéuticos,33.33333333333333,Banca de Inversión,32.432432432432435
apuestas y casinos,,,Envases y Embalajes,48.648648648648646,Logística y Cadena de Suministro,44.0,Servicios Profesionales,43.90243902439025,Dispositivos Médicos,42.10526315789474,"Sanidad, Bienestar y Ejercicio",41.666666666666664
architecture & planning,,,"Sanidad, Bienestar y Ejercicio",33.9622641509434,Hospitales y Atención Sanitaria,33.33333333333333,Petróleo y Gas,32.432432432432435,Venta Minorista,31.578947368421055,Servicios y Tecnologías de la Información,31.25
armadora y operadora de buque tanques,,,Servicios y Tecnologías de la Información,41.02564102564103,Desarrollo de Software,40.67796610169491,Logística y Cadena de Suministro,40.57971014492754,Consultoría de Gestión,37.28813559322034,Venta al por Mayor,36.36363636363637
arquitectura y planificacion,,,Telecomunicaciones,47.82608695652174,Hospitales y Atención Sanitaria,44.067796610169495,Marketing y Publicidad,44.0,"Sanidad, Bienestar y Ejercicio",41.37931034482759,Petróleo y Gas,38.095238095238095
artes interpretativas,,,Servicios Profesionales,40.90909090909091,Envases y Embalajes,40.0,Venta Minorista,38.888888888888886,Hospitales y Atención Sanitaria,38.46153846153846,Productos Farmacéuticos,36.36363636363637
articulos de consumo,,,Productos Farmacéuticos,51.16279069767442,Desarrollo de Software,42.857142857142854,Servicios y Tecnologías de la Información,42.622950819672134,Logística y Cadena de Suministro,42.30769230769231,Banca de Inversión,42.10526315789474
articulos de lujo y joyas,,,Servicios y Tecnologías de la Información,51.515151515151516,Productos Farmacéuticos,45.833333333333336,Logística y Cadena de Suministro,45.6140350877193,Desarrollo de Software,42.5531914893617,Marketing y Publicidad,42.5531914893617
articulos de lujo y joyas para la venta minorista,,,Logística y Cadena de Suministro,46.91358024691358,Desarrollo de Software,42.25352112676056,Servicios y Tecnologías de la Información,42.22222222222222,Venta Minorista,40.625,Hospitales y Atención Sanitaria,40.0
articulos deportivos,,,Productos Farmacéuticos,55.81395348837209,Servicios Públicos,52.63157894736842,Servicios Profesionales,46.51162790697674,Dispositivos Médicos,45.0,Venta al por Mayor,42.10526315789474
articulos metalicos,,,Servicios Públicos,54.054054054054056,Productos Farmacéuticos,52.38095238095238,Servicios Profesionales,47.61904761904762,Dispositivos Médicos,46.15384615384615,Venta al por Mayor,43.24324324324324
articulos promocionales y mercadeo,,,Productos Farmacéuticos,45.6140350877193,Servicios y Tecnologías de la Información,42.666666666666664,Servicios Públicos,42.30769230769231,Telecomunicaciones,42.30769230769231,Envases y Embalajes,41.509433962264154
artistas y escritores,,,Petróleo y Gas,51.42857142857143,Hospitales y Atención Sanitaria,46.15384615384615,Productos Farmacéuticos,45.45454545454545,Servicios Profesionales,45.45454545454545,Envases y Embalajes,45.0
aseguradoras,,,Reaseguros,72.72727272727272,Seguros,63.1578947368421,Petróleo y Gas,38.46153846153846,Consultoría de Gestión,35.294117647058826,Marketing y Publicidad,35.294117647058826
asesoria,,,Reaseguros,44.44444444444444,Petróleo y Gas,36.36363636363637,Venta Minorista,34.78260869565217,Servicios Profesionales,32.25806451612904,Banca,30.769230769230774
asesoria de externalizacion y deslocalizacion,,,Servicios y Tecnologías de la Información,46.51162790697674,Logística y Cadena de Suministro,44.15584415584416,"Sanidad, Bienestar y Ejercicio",42.666666666666664,Consultoría de Gestión,38.80597014925373,Servicios Profesionales,38.23529411764706
asesoria de inversion,,,Banca de Inversión,66.66666666666666,Consultoría de Gestión,55.81395348837209,Logística y Cadena de Suministro,49.056603773584904,Servicios Profesionales,45.45454545454545,Servicios y Tecnologías de la Información,41.935483870967744
asesoria en el area de las relaciones publico privadas,,,Servicios Profesionales,41.55844155844156,Servicios y Tecnologías de la Información,37.89473684210526,Logística y Cadena de Suministro,37.2093023255814,Telecomunicaciones,36.111111111111114,Venta al por Mayor,36.111111111111114
asesoria y servicios empresariales,,,Servicios Profesionales,59.64912280701754,"Sanidad, Bienestar y Ejercicio",46.875,Hospitales y Atención Sanitaria,43.07692307692308,Servicios y Tecnologías de la Información,42.666666666666664,Servicios Públicos,42.30769230769231
asesorias en comunicaciones,,,Telecomunicaciones,66.66666666666666,Logística y Cadena de Suministro,44.067796610169495,Servicios Profesionales,44.0,Banca de Inversión,40.0,Productos Farmacéuticos,40.0
asociacion empresarial,,,Educación Superior,50.0,Telecomunicaciones,45.0,Hospitales y Atención Sanitaria,41.509433962264154,Banca de Inversión,40.0,"Sanidad, Bienestar y Ejercicio",38.46153846153846
asociacion empresarial / gremio comercio servicios y turismo,,,Servicios Profesionales,40.963855421686745,Servicios y Tecnologías de la Información,39.603960396039604,"Sanidad, Bienestar y Ejercicio",37.77777777777778,Hospitales y Atención Sanitaria,37.362637362637365,Logística y Cadena de Suministro,36.95652173913044
asociacion empresarial / gremio representa a la industria de transformacion,,,Servicios y Tecnologías de la Información,39.6551724137931,Logística y Cadena de Suministro,33.64485981308411,Consultoría de Gestión,32.98969072164948,Hospitales y Atención Sanitaria,32.075471698113205,Servicios Profesionales,30.612244897959187
asociaciones sectoriales,,,Productos Farmacéuticos,46.808510638297875,Servicios Profesionales,46.808510638297875,Dispositivos Médicos,45.45454545454545,Educación Superior,42.857142857142854,Servicios Públicos,42.857142857142854
asuntos exteriores,,,Consultoría de Gestión,45.0,Educación Superior,44.44444444444444,Servicios Públicos,44.44444444444444,Productos Farmacéuticos,43.90243902439025,Servicios Profesionales,43.90243902439025
atencion hospitalaria,,,Hospitales y Atención Sanitaria,69.23076923076923,Educación Superior,41.02564102564103,Venta Minorista,38.888888888888886,Marketing y Publicidad,37.2093023255814,Servicios Profesionales,36.36363636363637
atencion integral basada de salud,,,Hospitales y Atención Sanitaria,50.0,Banca de Inversión,47.05882352941177,Logística y Cadena de Suministro,46.15384615384615,Servicios y Tecnologías de la Información,40.54054054054054,Consultoría de Gestión,40.0
atencion medica,,,Hospitales y Atención Sanitaria,43.47826086956522,Marketing y Publicidad,43.24324324324324,Banca de Inversión,42.42424242424242,Educación Superior,42.42424242424242,Telecomunicaciones,42.42424242424242
atencion medica y hospitalaria,,,Hospitales y Atención Sanitaria,68.85245901639344,Logística y Cadena de Suministro,45.16129032258065,"Sanidad, Bienestar y Ejercicio",43.333333333333336,Marketing y Publicidad,42.30769230769231,Dispositivos Médicos,40.0
atencion sanitaria y hospitalaria,,,Hospitales y Atención Sanitaria,78.125,Logística y Cadena de Suministro,49.23076923076923,"Sanidad, Bienestar y Ejercicio",44.44444444444444,Venta Minorista,41.666666666666664,Consultoría de Gestión,40.0
auto parts access & tires,,,Consultoría de Gestión,38.297872340425535,Desarrollo de Software,38.297872340425535,Productos Farmacéuticos,37.5,Banca de Inversión,37.2093023255814,Educación Superior,37.2093023255814
auto repair/maintenance&rental,,,Venta Minorista,40.0,Venta al por Mayor,37.5,Servicios y Tecnologías de la Información,33.80281690140845,Hospitales y Atención Sanitaria,32.786885245901644,Logística y Cadena de Suministro,32.25806451612904
automacion industrial,,,Educación Superior,46.15384615384615,Productos Farmacéuticos,45.45454545454545,Hospitales y Atención Sanitaria,42.30769230769231,Telecomunicaciones,41.02564102564103,Consultoría de Gestión,37.2093023255814
automotive,,,Consultoría de Gestión,37.5,Productos Farmacéuticos,36.36363636363637,Desarrollo de Software,31.25,Reaseguros,30.0,Telecomunicaciones,28.57142857142857
automotriz,,,Productos Farmacéuticos,36.36363636363637,Consultoría de Gestión,31.25,Desarrollo de Software,31.25,Reaseguros,30.0,Educación Superior,28.57142857142857
automotriz y repuestos,,,Productos Farmacéuticos,44.44444444444444,Consultoría de Gestión,40.90909090909091,Logística y Cadena de Suministro,40.74074074074074,Petróleo y Gas,38.888888888888886,Venta al por Mayor,35.0
autopartes comercio internacional logistica y produccion,,,Servicios y Tecnologías de la Información,41.23711340206186,Logística y Cadena de Suministro,40.90909090909091,"Sanidad, Bienestar y Ejercicio",39.53488372093023,Hospitales y Atención Sanitaria,39.08045977011494,Productos Farmacéuticos,37.9746835443038
aviacion,,,Telecomunicaciones,46.15384615384615,Servicios Profesionales,38.70967741935484,Servicios Públicos,38.46153846153846,Productos Farmacéuticos,32.25806451612904,"Sanidad, Bienestar y Ejercicio",31.578947368421055
avicola,,,Banca,50.0,Servicios Profesionales,33.33333333333333,Servicios Públicos,32.0,Dispositivos Médicos,29.629629629629633,Servicios y Tecnologías de la Información,29.16666666666667
bamca,,,Banca,60.0,Banca de Inversión,26.086956521739125,Telecomunicaciones,26.086956521739125,Envases y Embalajes,25.0,Marketing y Publicidad,22.22222222222223
banca,,,Banca,80.0,Banca de Inversión,34.78260869565217,Envases y Embalajes,33.33333333333333,Venta Minorista,30.0,Marketing y Publicidad,29.629629629629633
banca de inversion,,,Banca de Inversión,83.33333333333333,Consultoría de Gestión,50.0,Envases y Embalajes,48.648648648648646,Logística y Cadena de Suministro,48.0,Educación Superior,44.44444444444444
banca de inversiones,,,Banca de Inversión,78.94736842105263,Envases y Embalajes,51.282051282051285,Consultoría de Gestión,47.61904761904762,Logística y Cadena de Suministro,46.15384615384615,Servicios y Tecnologías de la Información,42.622950819672134
banca y finanzas,,,Envases y Embalajes,51.42857142857143,Banca de Inversión,47.05882352941177,Logística y Cadena de Suministro,41.666666666666664,"Sanidad, Bienestar y Ejercicio",39.130434782608695,Hospitales y Atención Sanitaria,38.297872340425535
bebidas,,,Reaseguros,35.294117647058826,Marketing y Publicidad,34.48275862068965,Servicios Públicos,32.0,Telecomunicaciones,32.0,Envases y Embalajes,30.769230769230774
bebidas/licores,,,Servicios Públicos,42.42424242424242,Telecomunicaciones,42.42424242424242,Servicios Profesionales,42.10526315789474,Reaseguros,40.0,Envases y Embalajes,35.294117647058826
belo horizonte,,,Servicios Públicos,43.75,Telecomunicaciones,43.75,Desarrollo de Software,38.888888888888886,Venta Minorista,34.48275862068965,Consultoría de Gestión,33.33333333333333
bibliotecas,,,Servicios Públicos,48.275862068965516,Venta Minorista,38.46153846153846,Marketing y Publicidad,36.36363636363637,Telecomunicaciones,34.48275862068965,Envases y Embalajes,33.33333333333333
bienes de consumo,,,Logística y Cadena de Suministro,44.89795918367347,"Sanidad, Bienestar y Ejercicio",42.5531914893617,Consultoría de Gestión,41.02564102564103,Banca de Inversión,40.0,Servicios Profesionales,40.0
bienes inmuebles,,,Envases y Embalajes,40.0,Servicios Profesionales,35.8974358974359,Banca de Inversión,35.294117647058826,Servicios Públicos,35.294117647058826,Telecomunicaciones,35.294117647058826
bienes inmuebles de arrendamiento,,,Banca de Inversión,47.05882352941177,Consultoría de Gestión,40.0,Logística y Cadena de Suministro,40.0,Servicios Profesionales,39.285714285714285,Servicios y Tecnologías de la Información,37.83783783783784
bienes inmuebles no residenciales de arrendamiento,,,Servicios Profesionales,41.0958904109589,Consultoría de Gestión,38.888888888888886,Marketing y Publicidad,38.888888888888886,Banca de Inversión,38.23529411764706,Hospitales y Atención Sanitaria,37.03703703703704
biofarmaceutica / cpg,,,Productos Farmacéuticos,50.0,Venta Minorista,38.888888888888886,Marketing y Publicidad,37.2093023255814,Telecomunicaciones,35.8974358974359,Venta al por Mayor,35.8974358974359
biopharma,,,Venta Minorista,33.33333333333333,Hospitales y Atención Sanitaria,30.0,Servicios Públicos,29.629629629629633,Banca,28.57142857142857,Productos Farmacéuticos,25.0
biotechnology,,,Servicios Públicos,38.70967741935484,Servicios y Tecnologías de la Información,37.03703703703704,Venta Minorista,35.71428571428571,Venta al por Mayor,32.25806451612904,Hospitales y Atención Sanitaria,31.818181818181813
biotecnologia,,,Venta Minorista,42.857142857142854,Servicios Públicos,38.70967741935484,Servicios y Tecnologías de la Información,37.03703703703704,Hospitales y Atención Sanitaria,36.36363636363637,"Sanidad, Bienestar y Ejercicio",32.55813953488372
bldg & garden mat equip & sup,,,Venta al por Mayor,35.55555555555556,Servicios y Tecnologías de la Información,32.352941176470594,Educación Superior,31.111111111111114,Telecomunicaciones,31.111111111111114,Hospitales y Atención Sanitaria,31.034482758620683
bodegas,,,Seguros,42.857142857142854,Reaseguros,35.294117647058826,Servicios Públicos,32.0,Envases y Embalajes,30.769230769230774,Venta Minorista,27.272727272727266
books magazines newspaper,,,Envases y Embalajes,40.90909090909091,Servicios Profesionales,37.5,Servicios y Tecnologías de la Información,33.33333333333333,Banca de Inversión,32.55813953488372,Educación Superior,32.55813953488372
bsanca,,,Banca,72.72727272727272,Venta Minorista,38.095238095238095,Banca de Inversión,33.33333333333333,Envases y Embalajes,32.0,Marketing y Publicidad,28.57142857142857
building materials,,,Servicios Públicos,44.44444444444444,Educación Superior,38.888888888888886,Servicios Profesionales,34.14634146341463,Telecomunicaciones,33.33333333333333,Hospitales y Atención Sanitaria,32.65306122448979
buscamos agua y construimos pozos,,,Logística y Cadena de Suministro,46.15384615384615,Productos Farmacéuticos,39.285714285714285,Dispositivos Médicos,37.735849056603776,Servicios Públicos,35.294117647058826,Servicios y Tecnologías de la Información,35.13513513513513
business & consumer services,,,Servicios Públicos,52.17391304347826,Servicios Profesionales,47.05882352941177,Dispositivos Médicos,37.5,Consultoría de Gestión,36.0,Productos Farmacéuticos,35.294117647058826
caja de compensacion,,,Banca de Inversión,52.63157894736842,Telecomunicaciones,52.63157894736842,Consultoría de Gestión,42.857142857142854,Logística y Cadena de Suministro,42.30769230769231,Productos Farmacéuticos,37.2093023255814
call center,,,Banca de Inversión,41.37931034482759,Educación Superior,41.37931034482759,Venta al por Mayor,41.37931034482759,Petróleo y Gas,40.0,Venta Minorista,38.46153846153846
capital markets,,,Venta Minorista,40.0,Hospitales y Atención Sanitaria,39.130434782608695,Venta al por Mayor,36.36363636363637,Envases y Embalajes,35.294117647058826,Desarrollo de Software,32.432432432432435
cargo transportation & logistics service,,,Servicios Públicos,41.37931034482759,Servicios Profesionales,41.26984126984127,Logística y Cadena de Suministro,38.888888888888886,Productos Farmacéuticos,34.920634920634924,"Sanidad, Bienestar y Ejercicio",34.28571428571429
carnes procesadas,,,Banca de Inversión,40.0,Educación Superior,40.0,Productos Farmacéuticos,40.0,Servicios Profesionales,40.0,"Sanidad, Bienestar y Ejercicio",38.297872340425535
casas de empeno,,,Banca de Inversión,48.484848484848484,Consultoría de Gestión,43.24324324324324,Logística y Cadena de Suministro,42.5531914893617,Petróleo y Gas,41.37931034482759,Desarrollo de Software,37.83783783783784
casinos y centros de apuesta,,,Logística y Cadena de Suministro,56.666666666666664,Servicios y Tecnologías de la Información,46.3768115942029,"Sanidad, Bienestar y Ejercicio",44.827586206896555,Banca de Inversión,43.47826086956522,Productos Farmacéuticos,43.13725490196079
casinos y centros de apuestas,,,Logística y Cadena de Suministro,55.73770491803279,Servicios y Tecnologías de la Información,45.714285714285715,"Sanidad, Bienestar y Ejercicio",44.067796610169495,Banca de Inversión,42.5531914893617,Productos Farmacéuticos,42.30769230769231
cemento,,,Reaseguros,35.294117647058826,Telecomunicaciones,32.0,Venta al por Mayor,32.0,Petróleo y Gas,28.57142857142857,Seguros,28.57142857142857
centros de atencion ambulatoria,,,Consultoría de Gestión,49.056603773584904,Logística y Cadena de Suministro,44.44444444444444,Productos Farmacéuticos,44.44444444444444,Servicios y Tecnologías de la Información,44.44444444444444,Banca de Inversión,40.816326530612244
centros de atencion telefonica,,,Hospitales y Atención Sanitaria,49.18032786885246,Servicios y Tecnologías de la Información,47.88732394366197,Banca de Inversión,45.833333333333336,Logística y Cadena de Suministro,41.935483870967744,Consultoría de Gestión,38.46153846153846
centros de diagnostico por imagenes,,,Logística y Cadena de Suministro,47.76119402985075,Venta al por Mayor,41.509433962264154,"Sanidad, Bienestar y Ejercicio",40.0,Servicios y Tecnologías de la Información,39.473684210526315,Consultoría de Gestión,38.59649122807018
chatarrizacion,,,Telecomunicaciones,43.75,"Sanidad, Bienestar y Ejercicio",40.90909090909091,Servicios Públicos,37.5,Productos Farmacéuticos,32.432432432432435,Servicios Profesionales,32.432432432432435
chemical rubber & plastics,,,Productos Farmacéuticos,36.734693877551024,Envases y Embalajes,35.55555555555556,Logística y Cadena de Suministro,34.48275862068965,Servicios Profesionales,32.65306122448979,Banca de Inversión,31.818181818181813
chemicals,,,Telecomunicaciones,44.44444444444444,Servicios Públicos,37.03703703703704,Reaseguros,31.578947368421055,Servicios Profesionales,31.25,Banca,28.57142857142857
chihuahua,,,Banca,28.57142857142857,Venta Minorista,25.0,Educación Superior,22.22222222222223,Telecomunicaciones,22.22222222222223,Reaseguros,21.05263157894737
cirujano plastico,,,Educación Superior,40.0,Dispositivos Médicos,37.83783783783784,Hospitales y Atención Sanitaria,37.5,Servicios Profesionales,35.0,Servicios Públicos,34.28571428571429
clothing&clothing accessories,,,Marketing y Publicidad,35.294117647058826,Productos Farmacéuticos,34.61538461538461,Servicios Profesionales,34.61538461538461,Servicios y Tecnologías de la Información,34.28571428571429,Telecomunicaciones,34.04255319148936
combined primary/secondary,,,"Sanidad, Bienestar y Ejercicio",42.857142857142854,Hospitales y Atención Sanitaria,42.10526315789474,Servicios y Tecnologías de la Información,41.791044776119406,Educación Superior,40.90909090909091,Telecomunicaciones,40.90909090909091
comercializacion de energia electrica,,,Servicios y Tecnologías de la Información,48.717948717948715,Banca de Inversión,43.63636363636363,Consultoría de Gestión,40.67796610169491,Servicios Profesionales,40.0,Logística y Cadena de Suministro,37.68115942028985
comercializacion de explosivos industriales,,,Servicios y Tecnologías de la Información,42.857142857142854,Hospitales y Atención Sanitaria,40.54054054054054,Logística y Cadena de Suministro,40.0,Dispositivos Médicos,38.095238095238095,Consultoría de Gestión,36.92307692307692
comercializacion de petroleo y bunkers,,,Servicios y Tecnologías de la Información,48.10126582278481,"Sanidad, Bienestar y Ejercicio",44.11764705882353,Logística y Cadena de Suministro,42.857142857142854,Desarrollo de Software,40.0,Educación Superior,39.285714285714285
